Codebarre;Titre;Editeur;Date_achat;Prix;Frequence;Format;Info;Public
17;IL2 Forgotten Battles: Ace (expansion pack);Ubisoft;2/25/04;30;8;PC;1CD , 1 MANUEL;+12 ans
23;IL2 Forgotten Battles;Ubisoft;10/14/04;46;12;PC;2CD , 1 CARTE + 1 NOTICE;+12 ans
48;Graines de Génie: CE1;Mindscape;10/15/04;20;3;PC;3 CDs , notice;
50;Graines de Génie: CM1;Mindscape;11/18/04;20;3;PC;3CD ,;
51;Graines de Génie: CP;Mindscape;10/15/04;20;6;PC;1CD , 1 manuel;
52;Graines de Génie: CE2;Mindscape;10/19/04;20;;PC;3CD , 1 MANUEL + n° série;
55;Graines de Génie: CM2;Mindscape;11/18/04;20;5;PC;3CD , 1 notice;
63;SIM City 4 Deluxe;Mindscape;10/14/04;60;8;PC;2CD , 1 LIVRET + n° série;+3 ans
65;Pony Girl;Bigben;5/13/05;30;2;PC/MAC;1CD , notice;+3 ans
94;City Life;Focus;4/18/06;45;11;PC;2CD, 2 manuels;+7 ans
129;Lego - Star Wars;;6/14/05;30;6;;1CD ,notice;
138;Sniper Elite;Ubisoft;11/03/2005;50;10;PC;1DVD , n° série;+16 ans
140;Half Life 2;Valve;11/29/04;60;11;PC;1DVD , Enregistrement sur internet, Nom utilisateur: MMICE, passwd: minette;+18 ans
145;Act of War: Direct Action;;3/21/05;55;3;;1CD , 1 manuel, 1 organigrame;
163;Rome: Total War;Activision;10/14/04;54,9;9;PC;3 CDs , livret + carte + n°série;+12 ans
184;IGN Rando: Alpes du Nord;;10/15/04;39;2;PC;1CD ,;
185;IGN Rando: Corse;;10/15/04;39;5;PC;1CD , notice;
186;IGN Rando: Bretagne (Cotes d'Armor - Ile et vilaine);;3/21/05;39;3;PC;1 CD, 1 manuel;
187;IGN Rando: Pyrénées Occidentales;;10/15/04;39;2;PC;1CD ,;
188;IGN Rando: Ile de France;;02/08/2005;39;14;PC;1CD, 1 manuel;
189;IGN Rando: Bretagne (Finistére - Morbihan);;10/15/04;39;7;PC;1CD ,;
190;Astrologie Classique et Chinoise;Emme;3/21/05;25;3;;1CD (avec n° serie), 1 jacquette;
196;Toute l'année au Jardin avec Rustica;;11/18/04;35;6;;1CD ,;
244;Tell Me More: ALLEMAND Débutant Intermédiaire Confirmé;Auralog;10/19/04;150;5;PC;3CD , 1 CASQUE (non preté) 1 LIVRET;
245;Tell Me More: ESPAGNOL Débutant Intermédiaire Confirmé;Auralog;10/19/04;150;45;PC;3CDs , 1 livret + 1 feuillet;
246;Tell Me More: ANGLAIS Débutant Intermédiaire Confirmé;Auralog;10/19/04;150;26;PC;1DVD;
247;Tell Me More: ITALIEN  Débutant Intermédiaire Confirmé;Auralog;10/19/04;150;9;PC;3CD , 1 CASQUE + 1 MANUEL;
301;MY MP3 Pro Steinberg  5;Pinnacle;10/19/04;39;8;PC;1CD , 1 MANUEL + n° série;
304;Jardin et Paysage 3D;clic & go;10/18/04;40;14;;3CD , 1 DVD VIDEO, 1 notice;
390;Flight Simulator X édition Pro;Microsoft;6/29/07;55;28;PC;2DVD , manuel + carte de réference + livre initiation + n° série;
